,Date,Mobile Device Type,cchannel  (eVar19) (evar19),qformuid (evar1),TreeAuthID (evar50),Visit Number,Product Reporting,Visitor_ID,csource (eVar20) (evar20),GeoSegmentation States,FormStart (ev57) (event57),Form Engagement 1 (ev11) (event11),Form Engagement 2 (ev12) (event12),FCS Qform Optin Completed (ev373) (event373),FCS Client Signup Completed (ev73) (event73),Lender Not Matched (ev522) (event522),FormSubmit in Express Offers (ev58) (event58),Lenders Matched (ev501) (event501),Page Views,Credit Card Apply Clicked (ev69) (event69),MyLT Session Started (ev189) (event189),Express No Offers (ev13) (event13),Express Visited (ev290) (event290)
383,"January 1, 2018",Mobile Phone,aff,0e40220f-ed2d-49cc-b872-20408618468d,aef6b636-0590-4353-9fec-5834e4d89407,4.0,Personal,3020032802411762621_1804600476160357149,27,new jersey (united states),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
401,"January 1, 2018",Mobile Phone,aff,187cc0b6-369c-4faf-97b6-481b5cdc35ee,9fc36a81-4977-4a58-80ac-9d973392acd8,24.0,Personal,5144030959547756791_5917809737905986773,27,ohio (united states),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
408,"January 1, 2018",Mobile Phone,aff,1b66bcee-28f0-4350-a510-e3ad9f1e4a82,02cb42cf-2f52-40c7-80eb-f8d0c5edc750,7.0,Personal,6536300517388113577_4928125284893399175,27,illinois (united states),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0
410,"January 1, 2018",Mobile Phone,aff,1c435b57-523f-49b7-9839-c6ea02341259,2ebd1a7d-3c77-4b0a-a493-57036473e9fb,2.0,Purchase,3710530291793330330_5362267598284137185,27,michigan (united states),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0
412,"January 1, 2018",Mobile Phone,aff,1c4f46bc-a654-41b6-9bc6-c52105bd26cf,7b0c15f3-b3a4-48aa-a238-10c775ae4e92,1.0,Purchase,2420870901439197975_2852896711597537567,27,massachusetts (united states),1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0
432,"January 1, 2018",Mobile Phone,aff,2437fed3-5f99-4bb9-a1cf-28d2aeb6a1c5,5c4159ab-d607-44eb-84a3-9cf1d25ca6ba,4.0,Refinance,3429448752038441634_4678562122396024424,27,california (united states),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
440,"January 1, 2018",Mobile Phone,aff,283f6c89-12e8-4e9f-b94b-a3863c080838,6d4f7185-34cd-4270-9804-2555531cb3c1,3.0,Personal,7532801194698727560_6936312976228358320,27,arkansas (united states),1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0
464,"January 1, 2018",Mobile Phone,aff,3664eef2-4306-48a1-bc0b-86f9ff9a2ea9,88a44a62-f451-475e-a2c2-81420974aff5,18.0,Refinance,8007761592642650433_8413928340706357331,27,pennsylvania (united states),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
489,"January 1, 2018",Mobile Phone,aff,417957d2-e2a9-4ba9-842b-ffa8c239f345,0d3b5551-2d18-4711-b079-2ab8f2af6c97,5.0,Auto,4937940445994405543_4315462159830219679,27,florida (united states),1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,1.0
492,"January 1, 2018",Mobile Phone,aff,42b6e76a-f3a3-4055-ab46-701f3c6446ac,5170f5cd-5f56-4fe3-b9c6-cc11132f1345,4.0,Refinance,1064535102927311756_4205004195367826321,27,new jersey (united states),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
521,"January 1, 2018",Mobile Phone,aff,525b9184-b84b-4ed6-bf8c-9a1bab364e7b,85580823-b787-4242-af17-d02837b9254e,1.0,Purchase,3695974220660258392_2910872740824340587,27,california (united states),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
526,"January 1, 2018",Mobile Phone,aff,549890b8-d676-4fa9-b334-25aad9e07380,8f72b8d1-c440-4a78-8d47-e82a1ffbd782,3.0,Personal,7394837979532024297_4382632089540416095,27,georgia (united states),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
565,"January 1, 2018",Mobile Phone,aff,6de0e2a4-c7bd-4fbb-b716-b26ecb765497,f5980515-a706-4c4c-b2f9-46305ff4a694,4.0,Personal,963061912935783923_2344147479098334322,27,nevada (united states),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
566,"January 1, 2018",Mobile Phone,aff,6e188f02-d418-4e68-8d1d-c2196695014c,14fc64e0-cfb1-4171-bfdd-f568149e9aab,15.0,Personal,3624558269694555313_6520537642838231545,27,maryland (united states),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
587,"January 1, 2018",Mobile Phone,aff,778c4418-766c-4c01-be4c-fd0680255d5a,66a36cb0-65c0-4313-ac9c-dffb28e55ebf,2.0,Personal,6159426720842992083_7400093815403596155,27,pennsylvania (united states),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
596,"January 1, 2018",Mobile Phone,aff,7c5f52a5-757f-445e-b730-6fe7b68bc34b,16be9055-03a4-43dc-878a-71824e085fe6,2.0,Personal,711260673047079132_5793156716467279416,27,ohio (united states),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
617,"January 1, 2018",Mobile Phone,aff,8b8d751a-9ace-4646-8e4e-524f4331aca2,1ac3b663-6f2b-4458-8733-4053a754e8ee,8.0,Personal,7402968629791821543_2802548421763790799,27,alabama (united states),1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,1.0
658,"January 1, 2018",Mobile Phone,aff,a0e2f6ad-485d-4ca9-9fc2-17a8ad052b55,909fd73f-106f-4698-a72c-8fbd45ce9899,3.0,Refinance,3847364787626187840_2046106109362736448,27,florida (united states),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
